Year,Area
1986," 132,170 "
1987," 1,121,900 "
1988," 1,441,435 "
1989," 1,634,487 "
1990," 1,739,175 "
1991," 1,758,906 "
1992," 1,807,378 "
1993," 1,836,818 "
1994," 1,836,818 "
1995," 1,834,411 "
1996," 1,778,656 "
1997," 1,558,340 "
1998," 1,080,964 "
1999," 1,160,942 "
2000," 1,459,061 "
2001," 1,596,008 "
2002," 1,669,379 "
2003," 1,714,186 "
2004," 1,765,096 "
2005," 1,762,892 "
2006," 1,796,541 "
2007," 1,829,367 "
2008," 1,773,942 "
2009," 1,694,723 "
2010," 1,641,930 "
2011," 1,635,138 "
2012," 1,555,675 "
2013," 1,380,242 "
2014," 1,299,533 "
2015," 1,151,306 "
2016,"1,153,317"
2017,"1,128,141"
2018," 1,137,162 "
