Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1990,0.06,0.66,3.09,2.68,3.74,10.52,5.15,3.38,1.7,2.7,0.3,0.68,34.66
1991,0.39,1.08,1.84,4.68,5.04,5.63,3.74,2.88,3.91,2.04,2.31,0.48,34.02
1992,0.69,0.27,1.49,1.78,2.2,3.03,2.95,1.51,1,1.12,1.39,0.94,18.37
1993,0.99,0.33,1.26,1.95,5.64,4.99,3.76,5.49,2.09,1.44,2.15,0.78,30.87
1994,1.06,0.63,0.73,3.92,1.13,3.27,4.1,3.15,3.14,3.12,0.98,0.51,25.74
1995,0.48,0.56,2.51,2.22,2.06,3.43,2.38,7.31,2.26,2.95,0.45,0.32,26.93
1996,1.37,0.23,0.64,0.67,2.96,1.94,2.72,2.08,1.2,2.95,3.83,0.99,21.58
1997,1.71,0.25,1.14,0.69,1.28,2.59,6.89,5.8,1.7,1.3,0.98,0.23,24.56
1998,0.79,0.74,2.77,1.14,3.65,4.23,3.31,3.18,1.25,1.89,1.53,0.86,25.34
1999,0.61,0.07,0.85,2.29,4.72,3.99,3.84,4.95,2.61,1.35,0.2,0.1,25.58
2000,0.42,0.82,1.61,0.98,2.96,3.1,3.24,1.2,0.93,1.6,3.15,0.28,20.29
2001,0.66,0.94,0.72,8.42,4.13,3,2.1,1.69,1.78,1.28,2.81,0.16,27.69
2002,0.28,0.95,1.06,3.68,2.06,4.92,5.1,5.59,6.67,3.48,0.15,0.09,34.03
2003,0.17,0.39,1.47,4.73,3.81,3.62,3.43,0.69,3.94,1.1,1.05,0.28,24.68
2004,0.42,0.8,1.34,1.29,6.72,3.67,3.48,1.63,5.13,3.37,0.54,0.46,28.85
2005,1.8,0.97,0.65,2.11,3.3,4.37,2.11,3.64,5.54,4.81,2.56,1.01,32.87
2006,0.34,0.2,0.97,4.03,1.59,2.55,2.1,3.97,5.09,1.14,0.72,1.53,24.23
2007,0.16,1.42,3.33,1.69,1.3,2.92,1.63,4.14,4.1,4.14,0.01,1.11,25.95
2008,0.17,0.54,1.47,2.94,3.83,4.38,1.39,4.18,3.35,2.6,0.93,1.58,27.36
2009,0.54,0.8,4.66,1.37,1.63,3.47,2.59,5.23,0.61,6.02,0.35,1.31,28.58
2010,0.72,0.77,1.21,1.43,2.06,4.92,3.15,6.36,7.16,2.59,1.02,2.56,33.95
2011,0.97,0.88,2.02,2.15,5.51,2.87,5.63,5.25,0.74,1.42,0.23,0.4,28.07
2012,0.57,1.24,1.15,2.6,8.76,2.36,3.59,1.22,0.24,0.73,1.05,1.51,25.02
2013,0.45,1.33,2.63,2.9,4.98,5.76,1.43,0.85,1.87,4.34,0.53,1.77,28.84
2014,1.34,1.17,1.2,5.9,6.74,6.18,1.25,5.59,4.06,0.65,1.89,0.75,36.72
2015,0.24,0.35,0.38,1.67,6.03,4.66,7.18,3.1,2.24,3.14,3.1,1.02,33.11
2016,0.31,0.63,1.5,1.74,2.17,3.37,6.74,8.36,3.08,2.68,1.69,1.55,33.82
2017,0.54,0.78,0.67,3.27,4.44,3.58,2.38,5.27,2.93,5.08,0.82,0.44,30.2
2018,0.18,1.4,1.99,1.41,1.75,2.57,4.84,5.73,2.17,3.91,0.92,0.89,27.76
2019,0.41,1.95,1.7,3.29,6.4,4.62,5.32,3.65,7.55,3.84,1.51,,
